NOMBRE_DEL_POZO,CIMA_(md),BASE_(md),NIVEL_DE_REFERENCIA,POROSIDAD_(%),VOLUMEN_DE_ARCILLA_(%),SATURACION_DE_AGUA_(%),FORMACION_GEOLOGICA,COMENTARIOS,
MOLOACAN-331,567,574,MR,30,SIN INFORMACION,37,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-332,397,402,MR,25,SIN INFORMACION,20,ENCANTO,EXPLOTADO POR BM,
MOLOACAN-332,379,383,MR,27,SIN INFORMACION,20,ENCANTO,EXPLOTADO POR BM,
MOLOACAN-332,461,464,MR,23,SIN INFORMACION,33,ENCANTO,EXPLOTADO POR BM,
MOLOACAN-332,432,437,MR,28,SIN INFORMACION,33,ENCANTO,EXPLOTADO POR BM,
MOLOACAN-333,411,415,MR,26,SIN INFORMACION,10,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE Y GAS, 
MOLOACAN-333,422,424,MR,26,SIN INFORMACION,11,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE Y GAS, 
MOLOACAN-334,447,454,MR,28,SIN INFORMACION,33,ENCANTO,AS SAL=37000 PPM CON TRAZAS DE ACEITE,
MOLOACAN-334,450,457,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,"AS SAL24000 PPM, CON TRAZAS DE ACEITE",
MOLOACAN-335,470,476,MR,25,SIN INFORMACION,33,ENCANTO,REDISPARADO,
MOLOACAN-335,470,479,MR,25,SIN INFORMACION,33,ENCANTO,OBTURADO,
MOLOACAN-336,477,480,MR,23,SIN INFORMACION,25,ENCANTO,POZO TAPONADO,
MOLOACAN-336,461,470,MR,23,SIN INFORMACION,26,ENCANTO,POZO TAPONADO,
